,estimated_delivery_price,best_bid_amount,best_ask_amount,underlying_index,bid_iv,ask_iv,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,greeks,stats,state,timestamp
571,66212.23,58.2,21.8,BTC-31MAY24,67.56,68.9,66824.71,68.35,0.0465,0.048,0.0,591.2,0.1035,0.0195,0.0445,"[[0.048, 21.8], [0.0485, 58.5], [0.0495, 80.0], [0.075, 3.0]]","[[0.0465, 58.2], [0.046, 48.0], [0.0455, 83.0], [0.0125, 7.0], [0.0105, 2.0]]",0.04687731,BTC-31MAY24-61000-P,0.0474,66212.23,23211538282,"{'rho': -24.13845, 'theta': -67.48477, 'vega': 74.92404, 'gamma': 2e-05, 'delta': -0.30012}","{'volume_usd': 159491.28, 'volume': 50.4, 'price_change': -11.8812, 'low': 0.0445, 'high': 0.0505}",open,1713864286588
572,66206.02,0.0,0.0,BTC-31MAY24,83.81,85.72,66824.54,82.44,0.0,0.0,0.0,2.0,0.0195,0.0001,0.0275,[],[],0.00272118,BTC-31MAY24-41000-P,0.0028,66206.02,23157588623,"{'rho': -1.99146, 'theta': -13.68906, 'vega': 12.84098, 'gamma': 0.0, 'delta': -0.0253}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864288605
573,66206.32,20.0,20.7,BTC-31MAY24,64.89,73.81,66824.63,68.95,0.186,0.1955,0.0,508.0,0.2655,0.1375,0.182,"[[0.1955, 20.7]]","[[0.186, 20.0]]",0.19161452,BTC-31MAY24-77000-P,0.19,66206.32,23211538851,"{'rho': -61.86964, 'theta': -67.99648, 'vega': 74.83101, 'gamma': 2e-05, 'delta': -0.7007}","{'volume_usd': 143707.58, 'volume': 11.8, 'price_change': 0.0, 'low': 0.182, 'high': 0.182}",open,1713864289608
574,66205.93,73.0,93.1,SYN.BTC-10MAY24,63.23,66.14,66451.775,64.66,0.0505,0.053,0.0,47.2,0.103,0.02,0.0535,"[[0.053, 93.1], [0.0535, 316.0], [0.054, 42.0], [0.0545, 48.0], [0.055, 28.0]]","[[0.0505, 73.0], [0.05, 293.0], [0.0495, 106.0], [0.049, 444.0], [0.014, 30.0]]",0.05200794,BTC-10MAY24-67000-C,0.0517,66205.93,23211542673,"{'rho': 13.95697, 'theta': -108.98533, 'vega': 57.11022, 'gamma': 4e-05, 'delta': 0.50425}","{'volume_usd': 1033417.65, 'volume': 276.7, 'price_change': -1.8349, 'low': 0.0535, 'high': 0.06}",open,1713864291179
575,66205.93,2.3,25.0,BTC-27SEP24,73.25,76.66,69355.4,75.07,0.4225,0.4265,0.0,413.0,0.4805,0.3875,0.421,"[[0.4265, 25.0], [0.4325, 19.0]]","[[0.4225, 2.3], [0.4185, 7.0], [0.414, 19.0], [0.406, 19.0]]",0.42349454,BTC-27SEP24-42000-C,0.4246,66205.93,23211543921,"{'rho': 140.89637, 'theta': -19.49166, 'vega': 81.50253, 'gamma': 1e-05, 'delta': 0.89708}","{'volume_usd': 431827.44, 'volume': 15.3, 'price_change': -0.9412, 'low': 0.421, 'high': 0.4285}",open,1713864292603
576,66206.02,0.0,0.0,SYN.BTC-17MAY24,88.39,90.35,66575.295,88.61,0.0,0.0,0.0,0.0,0.0235,0.0001,,[],[],0.00345569,BTC-17MAY24-45000-P,0.0034,66206.02,23157588460,"{'rho': -1.7169, 'theta': -23.86273, 'vega': 13.2848, 'gamma': 1e-05, 'delta': -0.03472}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864292763
577,66206.34,9.0,41.7,BTC-31MAY24,66.81,68.36,66823.58,67.6,0.078,0.08,0.0,699.3,0.138,0.042,0.0845,"[[0.08, 41.7], [0.0805, 598.0], [0.081, 145.0], [0.0815, 340.0], [0.167, 2.0]]","[[0.078, 9.0], [0.0775, 5.0], [0.077, 16.0], [0.0765, 640.0], [0.045, 39.0]]",0.07923415,BTC-31MAY24-68000-C,0.079,66206.34,23211545794,"{'rho': 30.04291, 'theta': -76.53863, 'vega': 85.91444, 'gamma': 3e-05, 'delta': 0.51153}","{'volume_usd': 272927.88, 'volume': 49.7, 'price_change': 1.8072, 'low': 0.081, 'high': 0.0855}",open,1713864295611
578,66206.16,0.0,12.2,SYN.BTC-24APR24,0.0,135.62,66203.198,71.18,0.0,0.0635,0.0,0.0,0.0975,0.017,,"[[0.0635, 12.2], [0.076, 10.0]]",[],0.05572109,BTC-24APR24-62500-C,0.0568,66206.16,23211378839,"{'rho': 1.52135, 'theta': -130.95321, 'vega': 3.67931, 'gamma': 5e-05, 'delta': 0.94619}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864297625
579,66206.16,0.0,10.0,BTC-26APR24,0.0,98.82,66195.62,64.37,0.0,0.0325,0.0,0.0,0.066,0.0007,,"[[0.0325, 10.0]]",[],,BTC-26APR24-65750-P,0.0198,66206.16,23211454520,"{'rho': -2.46438, 'theta': -256.63508, 'vega': 23.45995, 'gamma': 0.0001, 'delta': -0.44205}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864297625
580,66205.78,0.0,0.0,BTC-27DEC24,0.0,0.0,70912.98,73.47,0.0,0.0,0.0,0.0,0.3625,0.18,0.319,[],[],0.25326301,BTC-27DEC24-72000-P,0.2478,66205.78,22872079477,"{'rho': -308.40034, 'theta': -33.18617, 'vega': 224.6557, 'gamma': 1e-05, 'delta': -0.39045}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864300647
581,66206.03,0.0,0.0,BTC-27DEC24,0.0,0.0,70912.92,71.37,0.0,0.0,0.0,1.3,0.3535,0.2015,0.2613,[],[],0.25840897,BTC-27DEC24-66000-C,0.2599,66206.03,23195552016,"{'rho': 194.01602, 'theta': -30.72513, 'vega': 214.12158, 'gamma': 1e-05, 'delta': 0.66145}","{'volume_usd': 3499378.6, 'volume': 200.0, 'price_change': -0.5708, 'low': 0.2602, 'high': 0.2642}",open,1713864301694
582,66205.97,0.0,0.0,SYN.BTC-17MAY24,0.0,0.0,66574.095,73.82,0.0,0.0,0.0,0.0,0.3585,0.2325,,[],[],0.28757251,BTC-17MAY24-85000-P,0.2872,66205.97,0,"{'rho': -52.5758, 'theta': -51.67851, 'vega': 34.56761, 'gamma': 2e-05, 'delta': -0.88034}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864302827
583,66206.03,0.0,0.0,BTC-27SEP24,0.0,0.0,69356.65,69.93,0.0,0.0,0.0,0.0,0.346,0.1775,0.2125,[],[],0.24458079,BTC-27SEP24-76000-P,0.242,66206.03,22180417583,"{'rho': -218.66506, 'theta': -40.30407, 'vega': 181.78017, 'gamma': 1e-05, 'delta': -0.48772}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864304674
584,66206.2,154.0,74.9,SYN.BTC-25APR24,58.76,66.28,66197.5686,59.13,0.0275,0.0295,0.0,6.5,0.07,0.0011,0.0317,"[[0.0295, 74.9], [0.03, 750.0], [0.0305, 65.0], [0.031, 1.0], [0.0315, 5.0]]","[[0.0275, 154.0], [0.027, 988.0], [0.0265, 78.6], [0.026, 1.0], [0.025, 4.0]]",0.02686887,BTC-25APR24-65000-C,0.0276,66206.2,23211555399,"{'rho': 2.26792, 'theta': -265.67281, 'vega': 17.44252, 'gamma': 0.00013, 'delta': 0.67185}","{'volume_usd': 777976.65, 'volume': 356.5, 'price_change': 2.2581, 'low': 0.031, 'high': 0.0375}",open,1713864305968
585,66206.3,106.1,48.0,BTC-3MAY24,64.08,67.3,66326.28,65.69,0.011,0.0125,0.0,98.4,0.0495,0.0001,0.0125,"[[0.0125, 48.0], [0.013, 604.0], [0.0135, 1143.0], [0.014, 90.0], [0.0265, 4.0]]","[[0.011, 106.1], [0.008, 8.0], [0.005, 24.0], [0.0002, 10.0], [0.0001, 6.0]]",0.0127533,BTC-3MAY24-73000-C,0.0117,66206.3,23211556799,"{'rho': 3.45897, 'theta': -102.22333, 'vega': 30.93942, 'gamma': 4e-05, 'delta': 0.20322}","{'volume_usd': 256352.93, 'volume': 252.8, 'price_change': -16.6667, 'low': 0.0125, 'high': 0.016}",open,1713864307733
586,66206.27,298.3,18.0,BTC-3MAY24,59.33,68.98,66326.28,65.34,0.079,0.084,0.0,313.8,0.131,0.043,0.09,"[[0.084, 18.0], [0.0845, 210.0], [0.085, 700.0], [0.1205, 25.0], [0.171, 10.0]]","[[0.079, 298.3], [0.065, 10.0], [0.0495, 4.0], [0.048, 20.0], [0.047, 360.0]]",0.0828718,BTC-3MAY24-62000-C,0.0821,66206.27,23211557010,"{'rho': 12.0941, 'theta': -113.92222, 'vega': 34.66653, 'gamma': 4e-05, 'delta': 0.75158}","{'volume_usd': 12029.92, 'volume': 2.0, 'price_change': 0.0, 'low': 0.09, 'high': 0.09}",open,1713864307963
587,66206.41,76.9,613.0,SYN.BTC-24APR24,51.69,61.64,66201.8722,57.66,0.009,0.011,0.0,34.2,0.0515,0.0001,0.0105,"[[0.011, 613.0], [0.019, 10.0], [0.021, 6.0], [0.032, 7.0], [0.046, 3.0]]","[[0.009, 76.9], [0.0085, 335.0], [0.008, 1078.0], [0.0075, 42.0], [0.0001, 30.0]]",0.01253084,BTC-24APR24-66000-P,0.0102,66206.41,23211559080,"{'rho': -0.78993, 'theta': -383.8851, 'vega': 13.31522, 'gamma': 0.0002, 'delta': -0.45264}","{'volume_usd': 1141671.04, 'volume': 1590.4, 'price_change': -44.7368, 'low': 0.008, 'high': 0.0195}",open,1713864310720
588,66206.28,630.0,2433.2,BTC-3MAY24,61.45,67.84,66326.44,64.75,0.0645,0.0685,0.0,162.1,0.124,0.028,0.0605,"[[0.0685, 2433.2], [0.069, 20.0], [0.0695, 32.0], [0.1135, 10.0]]","[[0.0645, 630.0], [0.064, 19.2], [0.0635, 72.0], [0.0001, 22.0]]",0.06773229,BTC-3MAY24-69000-P,0.0666,66206.28,23211560197,"{'rho': -12.47715, 'theta': -135.27184, 'vega': 41.53631, 'gamma': 5e-05, 'delta': -0.62415}","{'volume_usd': 350818.31, 'volume': 81.8, 'price_change': -12.9496, 'low': 0.0605, 'high': 0.0695}",open,1713864311774
589,66206.41,0.0,0.0,BTC-28MAR25,0.0,0.0,72937.35,77.77,0.0,0.0,0.0,0.0,0.295,0.1115,0.311,[],[],0.18418538,BTC-28MAR25-105000-C,0.1758,66206.41,22914825670,"{'rho': 190.24149, 'theta': -31.93985, 'vega': 279.00007, 'gamma': 1e-05, 'delta': 0.45602}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864312730
590,66206.41,0.0,0.0,SYN.BTC-17MAY24,0.0,0.0,66574.33,69.22,0.0,0.0,0.0,0.0,0.2235,0.1055,,[],[],0.15587907,BTC-17MAY24-75000-P,0.1556,66206.41,0,"{'rho': -39.26347, 'theta': -82.2264, 'vega': 58.65341, 'gamma': 3e-05, 'delta': -0.71631}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864313856
